MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
Ja1-D4_megahit_metabat_bin-097,bin-097:0840/1171_2,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-724,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-310,bin-310:017/228_2,CbcB,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-310,bin-310:017/228_10,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-310,bin-310:198/228_2,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-310,bin-310:063/228_9,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-310,bin-310:014/228_1,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0461&DFE_0462&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-310,bin-310:014/228_2,DFE_0449,Periplasmic_MHC_in_PCC,Not_found,DFE_0449&Periplasmic_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-310,bin-310:021/228_1,DFE_0449,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-310,bin-310:088/228_16,MtoA,Outer_Surface_MHC,Not_found,MtoA&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-310,bin-310:121/228_12,DFE_0449,Periplasmic_MHC_in_PCC,Not_found,DFE_0449&Periplasmic_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-310,bin-310:121/228_13,DFE_0462,Outer_Surface_MHC,mtrC,DFE_0461&DFE_0462&mtrC&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-310,bin-310:187/228_19,EetB,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-310,bin-310:050/228_40,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-310,bin-310:133/228_8,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-435,bin-435:0956/1882_10,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-435,bin-435:0134/1882_11,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-435,bin-435:0134/1882_12,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-435,bin-435:0134/1882_13,ImcH,Not_found,Not_found,ImcH&,
Ja1-D4_megahit_metabat_bin-435,bin-435:1679/1882_1,CbcL,Not_found,Not_found,CbcL&,
Ja1-D4_megahit_metabat_bin-435,bin-435:1683/1882_4,640548489_YP_001229772_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC_in_PCC,Not_found,640548489_YP_001229772_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483]&Outer_Surface_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-435,bin-435:1683/1882_5,2514223670_filler_{omc}_Geobacter_sulfurreducens_CxxxxCH...CXXCH_domain-containing_protein_[Ignavibacterium_album_Mat9-16;_JCM_16511_:_NC_017464],Outer_Surface_MHC_in_PCC,Not_found,2514223670_filler_{omc}_Geobacter_sulfurreducens_CxxxxCH...CXXCH_domain&,
Ja1-D4_megahit_metabat_bin-435,bin-435:1683/1882_6,643596352_YP_002493935_{pc}_hypothetical_protein_[Anaeromyxobacter_dehalogenans_2CP-1:_NC_011891],Outer_Surface_MHC_in_PCC,Not_found,643596352_YP_002493935_{pc}_hypothetical_protein_[Anaeromyxobacter_dehalogenans_2CP&,
Ja1-D4_megahit_metabat_bin-435,bin-435:1683/1882_7,637127417_NP_953771_{porin}_hypothetical_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],PCC_porin,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-435,bin-435:0037/1882_2,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
Ja1-D4_megahit_metabat_bin-435,bin-435:0134/1882_3,DFE_0461,Not_found,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-435,bin-435:0023/1882_5,Not_found,PCC_porin,Not_found,Irrelevant
Ja1-D4_megahit_metabat_bin-435,bin-435:0023/1882_4,Not_found,Outer_Surface_MHC_in_PCC,Not_found,Outer_Surface_MHC_in_PCC&,
Ja1-D4_megahit_metabat_bin-695,bin-695:054/226_5,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
