MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
A-1_megahit_metabat_bin-360,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-295,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-402,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-531,bin-531:048/349_16,Cyc1,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-531,bin-531:048/349_17,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-023,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-218,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-104,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-595,Not_found,Not_found,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-578,bin-578:129/131_15,MtoA,Not_found,Not_found,MtoA&,
A-1_megahit_metabat_bin-578,bin-578:129/131_16,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-578,bin-578:129/131_17,CymA,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-578,bin-578:019/131_8,EetB,Not_found,Not_found,Irrelevant
A-1_megahit_metabat_bin-578,bin-578:019/131_9,EetA,Not_found,Not_found,Irrelevant
