MAG,orf,FeGenie_HMM,Shaomei_Type
Ki3-D2_megahit_metabat_bin-0618,bin-0618:195/358_8,DFE_0462,Not found
Ki3-D2_megahit_metabat_bin-1068,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-2221,bin-2221:329/469_7,CbcL,Not found
Ki3-D2_megahit_metabat_bin-2221,bin-2221:329/469_8,CbcL,Not found
Ki3-D2_megahit_metabat_bin-2221,bin-2221:329/469_10,ImcH,Not found
Ki3-D2_megahit_metabat_bin-2221,bin-2221:059/469_1,MtrB_TIGR03509,Not found
Ki3-D2_megahit_metabat_bin-2221,bin-2221:272/469_2,MtoA,Not found
Ki3-D2_megahit_metabat_bin-2221,bin-2221:301/469_6,DFE_0461,Not found
Ki3-D2_megahit_metabat_bin-1918,bin-1918:202/960_3,MtoA,Not found
Ki3-D2_megahit_metabat_bin-1918,bin-1918:202/960_4,MtrB_TIGR03509,Not found
Ki3-D2_megahit_metabat_bin-0630,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0842,bin-0842:225/260_3,sulfocyanin,Not found
Ki3-D2_megahit_metabat_bin-2044,bin-2044:120/313_1,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-1461,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1607,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1218,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-1245,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-0182,bin-0182:187/278_3,Cyc2_repCluster2,Not found
Ki3-D2_megahit_metabat_bin-0182,bin-0182:087/278_15,MtrB_TIGR03509,Not found
Ki3-D2_megahit_metabat_bin-0182,bin-0182:087/278_16,MtoA,Not found
Ki3-D2_megahit_metabat_bin-0182,bin-0182:244/278_1,DFE_0462,Not found
Ki3-D2_megahit_metabat_bin-0182,bin-0182:151/278_3,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0182,bin-0182:166/278_3,Not found,Outer Surface MHC
Ki3-D2_megahit_metabat_bin-0588,Not found,Not found,Not found
Ki3-D2_megahit_metabat_bin-2083,bin-2083:070/145_106,CbcL,Not found
Ki3-D2_megahit_metabat_bin-2083,bin-2083:070/145_107,CbcL,Not found
