
M_DeepCast_100m_m2_243,M_DeepCast_100m_m2_243_Ga0194119_10016414_3,M_DeepCast_100m_m2_243_Ga0194119_10016414_2
M_DeepCast_65m_m2_014,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_12,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_14
M_DeepCast_65m_m2_014,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_13,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_14
M_DeepCast_65m_m2_014,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_15,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_14
M_DeepCast_65m_m2_014,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_16,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_14
M_DeepCast_65m_m2_014,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_19,M_DeepCast_65m_m2_014_TA2MahCa65mmetaG_2.148642.fna_Ga0194120_10002314_14
K_DeepCast_100m_m2_268,K_DeepCast_100m_m2_268_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002250_4,K_DeepCast_100m_m2_268_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10002250_1
K_DeepCast_100m_mx_210,K_DeepCast_100m_mx_210_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10091808_2,K_DeepCast_100m_mx_210_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10091808_1
K_DeepCast_100m_mx_210,K_DeepCast_100m_mx_210_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10091808_3,K_DeepCast_100m_mx_210_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10091808_1
K_DeepCast_100m_mx_210,K_DeepCast_100m_mx_210_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10107834_1,K_DeepCast_100m_mx_210_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10107834_2
K_DeepCast_250m_m1_333,K_DeepCast_250m_m1_333_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10022848_2,K_DeepCast_250m_m1_333_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10022848_1
K_DeepCast_250m_m1_333,K_DeepCast_250m_m1_333_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10185184_1,K_DeepCast_250m_m1_333_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10185184_2
M_DeepCast_400m_m1_331,M_DeepCast_400m_m1_331_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10086162_2,M_DeepCast_400m_m1_331_TA2MahC400mmetaG_2.146191.fna_Ga0194112_10086162_3
K_DeepCast_100m_m2_316,K_DeepCast_100m_m2_316_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000337_42,K_DeepCast_100m_m2_316_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000337_44
K_DeepCast_100m_m2_316,K_DeepCast_100m_m2_316_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000337_43,K_DeepCast_100m_m2_316_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000337_44
K_DeepCast_100m_m2_316,K_DeepCast_100m_m2_316_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000337_51,K_DeepCast_100m_m2_316_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10000337_44
K_DeepCast_100m_m1_326,K_DeepCast_100m_m1_326_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003033_1,K_DeepCast_100m_m1_326_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003033_7
K_DeepCast_100m_m1_326,K_DeepCast_100m_m1_326_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003033_6,K_DeepCast_100m_m1_326_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003033_7
K_DeepCast_100m_m1_326,K_DeepCast_100m_m1_326_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003033_8,K_DeepCast_100m_m1_326_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003033_7
M_DeepCast_200m_m2_052,M_DeepCast_200m_m2_052_Ga0194113_10001411_10,M_DeepCast_200m_m2_052_Ga0194113_10001411_11
K_DeepCast_250m_m1_364,K_DeepCast_250m_m1_364_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10009137_2,K_DeepCast_250m_m1_364_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10009137_4
K_DeepCast_250m_m1_364,K_DeepCast_250m_m1_364_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10009137_3,K_DeepCast_250m_m1_364_TA2KigC250mmetaG_2.148626.fna_Ga0194125_10009137_4
K_DeepCast_100m_m2_176,K_DeepCast_100m_m2_176_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003284_13,K_DeepCast_100m_m2_176_TA2KigC100mmetaG_2.148624.fna_Ga0194127_10003284_17
